"neighborhood","code_description"
"West Ridge","Construction site cleanliness"
"Belmont Cragin","Construction site cleanliness"
"Riverdale","Semiannual surficial cleansing"
"Riverdale","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"West Town","Treatment and disposal of solid or liquid waste"
"Portage Park","Construction site cleanliness"
"Portage Park","Construction site cleanliness"
"Calumet Heights","Construction site cleanliness"
"Greater Grand Crossing","Semiannual surficial cleansing"
"West Englewood","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"West Englewood","Semiannual surficial cleansing"
"Morgan Park","Semiannual surficial cleansing"
"Morgan Park","Semiannual surficial cleansing"
"Morgan Park","Semiannual surficial cleansing"
"Morgan Park","Semiannual surficial cleansing"
"Morgan Park","Semiannual surficial cleansing"
"West Town","Construction site cleanliness"
"Jefferson Park","Construction site cleanliness"
"South Shore","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"West Englewood","Treatment and disposal of solid or liquid waste"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"West Englewood","Construction site cleanliness"
"West Englewood","Handling and storage of material susceptible to becoming windborne"
"South Deering","Semiannual surficial cleansing"
"West Town","Construction site cleanliness"
"Belmont Cragin","Treatment and disposal of solid or liquid waste"
"Roseland","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Roseland","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Avalon Park","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Mount Greenwood","Semiannual surficial cleansing"
"Mount Greenwood","Semiannual surficial cleansing"
"Beverly","Semiannual surficial cleansing"
"Beverly","Semiannual surficial cleansing"
"Lincoln Square","Construction site cleanliness"
"South Shore","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"Chicago Lawn","Treatment and disposal of solid or liquid waste"
"Avondale","Treatment and disposal of solid or liquid waste"
"Roseland","Semiannual surficial cleansing"
"Roseland","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Washington Heights","Semiannual surficial cleansing"
"Lincoln Park","Construction site cleanliness"
"Auburn Gresham","Semiannual surficial cleansing"
"Washington Heights","Semiannual surficial cleansing"
"West Englewood","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"West Englewood","Semiannual surficial cleansing"
"Irving Park","Construction site cleanliness"
"Grand Boulevard","Treatment and disposal of solid or liquid waste"
"Woodlawn","Semiannual surficial cleansing"
"Avalon Park","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"Woodlawn","Semiannual surficial cleansing"
"Beverly","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Roseland","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Roseland","Semiannual surficial cleansing"
"West Pullman","Semiannual surficial cleansing"
"Pullman","Semiannual surficial cleansing"
"Pullman","Semiannual surficial cleansing"
"West Pullman","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"Avalon Park","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"Ashburn","Handling and storage of material susceptible to becoming windborne"
"Greater Grand Crossing","Semiannual surficial cleansing"
"South Deering","Handling and storage of material susceptible to becoming windborne"
"Auburn Gresham","Construction site cleanliness"
"South Deering","Construction site cleanliness"
"Auburn Gresham","Handling and storage of material susceptible to becoming windborne"
"Irving Park","Construction site cleanliness"
"Greater Grand Crossing","Treatment and disposal of solid or liquid waste"
"Lake View","Construction site cleanliness"
"Washington Heights","Semiannual surficial cleansing"
"Washington Heights","Semiannual surficial cleansing"
"Roseland","Semiannual surficial cleansing"
"Lincoln Square","Construction site cleanliness"
"Washington Heights","Semiannual surficial cleansing"
"Roseland","Semiannual surficial cleansing"
"Washington Heights","Semiannual surficial cleansing"
"Lake View","Handling and storage of material susceptible to becoming windborne"
"Jefferson Park","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Treatment and disposal of solid or liquid waste"
"Lincoln Park","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Englewood","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"South Chicago","Semiannual surficial cleansing"
"South Chicago","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Auburn Gresham","Semiannual surficial cleansing"
"Avondale","Construction site cleanliness"
"North Center","Construction site cleanliness"
"Lower West Side","Handling and storage of material susceptible to becoming windborne"
"Lake View","Handling and storage of material susceptible to becoming windborne"
"Lincoln Park","Construction site cleanliness"
"Chatham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Greater Grand Crossing","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"South Chicago","Semiannual surficial cleansing"
"South Shore","Semiannual surficial cleansing"
"South Chicago","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Auburn Gresham","Construction site cleanliness"
"Auburn Gresham","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"New City","Treatment and disposal of solid or liquid waste"
"New City","Treatment and disposal of solid or liquid waste"
"Irving Park","Construction site cleanliness"
"West Town","Construction site cleanliness"
"West Town","Construction site cleanliness"
"Hermosa","Treatment and disposal of solid or liquid waste"
"West Town","Treatment and disposal of solid or liquid waste"
"Garfield Ridge","Handling and storage of material susceptible to becoming windborne"
"Garfield Ridge","Construction site cleanliness"
"Washington Heights","Semiannual surficial cleansing"
"Washington Heights","Semiannual surficial cleansing"
"West Englewood","Handling and storage of material susceptible to becoming windborne"
"South Deering","Handling and storage of material susceptible to becoming windborne"
"Avondale","Handling and storage of material susceptible to becoming windborne"
"North Center","Construction site cleanliness"
"Humboldt Park","Treatment and disposal of solid or liquid waste"
"Humboldt Park","Handling and storage of material susceptible to becoming windborne"
"Near West Side","Handling and storage of material susceptible to becoming windborne"
"South Lawndale","Treatment and disposal of solid or liquid waste"
"Brighton Park","Handling and storage of material susceptible to becoming windborne"
"East Side","Handling and storage of material susceptible to becoming windborne"
"Riverdale","Handling and storage of material susceptible to becoming windborne"
"Riverdale","Handling and storage of material susceptible to becoming windborne"
"West Garfield Park","Construction site cleanliness"
"Lincoln Park","Construction site cleanliness"
"Greater Grand Crossing","Handling and storage of material susceptible to becoming windborne"
"Chatham","Construction site cleanliness"
"Greater Grand Crossing","Construction site cleanliness"
"Chatham","Handling and storage of material susceptible to becoming windborne"
"West Pullman","Handling and storage of material susceptible to becoming windborne"
"Avondale","Treatment and disposal of solid or liquid waste"
"Belmont Cragin","Handling and storage of material susceptible to becoming windborne"
"Roseland","Handling and storage of material susceptible to becoming windborne"
"Irving Park","Construction site cleanliness"
"East Side","Certificate of operation requiered"
"Greater Grand Crossing","Treatment and disposal of solid or liquid waste"
"Lower West Side","Handling and storage of material susceptible to becoming windborne"
"West Ridge","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Riverdale","Handling and storage of material susceptible to becoming windborne"
"Bridgeport","Construction site cleanliness"
"Bridgeport","Construction site cleanliness"
"Lower West Side","Construction site cleanliness"
"Portage Park","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"South Lawndale","Certificate of operation requiered"
"South Lawndale","Certificate of operation requiered"
"South Lawndale","Handling and storage of material susceptible to becoming windborne"
"South Lawndale","Certificate of operation requiered"
"North Center","Construction site cleanliness"
"North Center","Construction site cleanliness"
"Brighton Park","Handling and storage of material susceptible to becoming windborne"
"West Ridge","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"Auburn Gresham","Handling and storage of material susceptible to becoming windborne"
"Uptown","Construction site cleanliness"
"Auburn Gresham","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"Austin","Treatment and disposal of solid or liquid waste"
"Lincoln Square","Construction site cleanliness"
"North Center","Treatment and disposal of solid or liquid waste"
"West Town","Construction site cleanliness"
"Uptown","Construction site cleanliness"
"North Lawndale","Treatment and disposal of solid or liquid waste"
"Loop","Certificate of operation requiered"
"Portage Park","Construction site cleanliness"
"Greater Grand Crossing","Construction site cleanliness"
"West Town","Construction site cleanliness"
"West Town","Construction site cleanliness"
"Austin","Treatment and disposal of solid or liquid waste"
"Logan Square","Construction site cleanliness"
"Humboldt Park","Construction site cleanliness"
"Lincoln Square","Handling and storage of material susceptible to becoming windborne"
"Austin","Handling and storage of material susceptible to becoming windborne"
"Portage Park","Construction site cleanliness"
"Englewood","Handling and storage of material susceptible to becoming windborne"
"Englewood","Construction site cleanliness"
"West Garfield Park","Treatment and disposal of solid or liquid waste"
"Near West Side","Treatment and disposal of solid or liquid waste"
"Uptown","Construction site cleanliness"
"Lake View","Construction site cleanliness"
"South Deering","Construction site cleanliness"
"West Town","Construction site cleanliness"
"North Lawndale","Certificate of operation requiered"
"South Deering","Construction site cleanliness"
"West Town","Construction site cleanliness"
"Austin","Treatment and disposal of solid or liquid waste"
"West Town","Construction site cleanliness"
"Austin","Handling and storage of material susceptible to becoming windborne"
"Austin","Treatment and disposal of solid or liquid waste"
"Irving Park","Certificate of operation requiered"
"Lincoln Square","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Albany Park","Treatment and disposal of solid or liquid waste"
"North Center","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Chicago Lawn","Handling and storage of material susceptible to becoming windborne"
"Lincoln Park","Handling and storage of material susceptible to becoming windborne"
"Chicago Lawn","Construction site cleanliness"
"Bridgeport","Construction site cleanliness"
"Washington Heights","Handling and storage of material susceptible to becoming windborne"
"Washington Heights","Treatment and disposal of solid or liquid waste"
"Lake View","Handling and storage of material susceptible to becoming windborne"
"Belmont Cragin","Treatment and disposal of solid or liquid waste"
"Austin","Construction site cleanliness"
"Bridgeport","Construction site cleanliness"
"Bridgeport","Construction site cleanliness"
"Bridgeport","Treatment and disposal of solid or liquid waste"
"Bridgeport","Construction site cleanliness"
"North Center","Construction site cleanliness"
"Washington Park","Handling and storage of material susceptible to becoming windborne"
"Lake View","Construction site cleanliness"
"Chatham","Treatment and disposal of solid or liquid waste"
"Uptown","Construction site cleanliness"
"Uptown","Construction site cleanliness"
"West Town","Construction site cleanliness"
"West Town","Construction site cleanliness"
"Austin","Treatment and disposal of solid or liquid waste"
"Lake View","Construction site cleanliness"
"Lake View","Construction site cleanliness"
"Auburn Gresham","Construction site cleanliness"
"Auburn Gresham","Construction site cleanliness"
"North Park","Construction site cleanliness"
"Lincoln Park","Construction site cleanliness"
"Jefferson Park","Construction site cleanliness"
"Near South Side","Construction site cleanliness"
"Irving Park","Construction site cleanliness"
"West Garfield Park","Construction site cleanliness"
"Austin","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Pullman","Treatment and disposal of solid or liquid waste"
"Portage Park","Construction site cleanliness"
"North Center","Construction site cleanliness"
"West Garfield Park","Treatment and disposal of solid or liquid waste"
"North Lawndale","Construction site cleanliness"
"Chatham","Treatment and disposal of solid or liquid waste"
"Auburn Gresham","Treatment and disposal of solid or liquid waste"
"Jefferson Park","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Brighton Park","Construction site cleanliness"
"Humboldt Park","Construction site cleanliness"
"North Center","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Irving Park","Construction site cleanliness"
"Irving Park","Construction site cleanliness"
"Chatham","Semiannual surficial cleansing"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Jefferson Park","Construction site cleanliness"
"Jefferson Park","Treatment and disposal of solid or liquid waste"
"McKinley Park","Handling and storage of material susceptible to becoming windborne"
"McKinley Park","Construction site cleanliness"
"West Englewood","Treatment and disposal of solid or liquid waste"
"Austin","Treatment and disposal of solid or liquid waste"
"Pullman","Treatment and disposal of solid or liquid waste"
"Chatham","Semiannual surficial cleansing"
"Chatham","Semiannual surficial cleansing"
"Portage Park","Construction site cleanliness"
"Morgan Park","Semiannual surficial cleansing"
"Morgan Park","Semiannual surficial cleansing"
"West Town","Construction site cleanliness"
"West Town","Construction site cleanliness"
"McKinley Park","Construction site cleanliness"
"McKinley Park","Construction site cleanliness"
"West Town","Handling and storage of material susceptible to becoming windborne"
"Chatham","Semiannual surficial cleansing"
"Englewood","Treatment and disposal of solid or liquid waste"
"Oakland","Construction site cleanliness"
"North Park","Construction site cleanliness"
"Near North Side","Construction site cleanliness"
"McKinley Park","Construction site cleanliness"
"McKinley Park","Construction site cleanliness"
"McKinley Park","Construction site cleanliness"
"McKinley Park","Construction site cleanliness"
"Irving Park","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Uptown","Construction site cleanliness"
